"LogName","TimeCreated","Id","LevelDisplayName","Message"
"Application","05/11/2025 09:35:00 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 18188. Id. de mensaje: [0x2509]."
"Application","05/11/2025 09:31:38 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 24304. Id. de mensaje: [0x2509]."
"Application","05/11/2025 09:28:58 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 23636. Id. de mensaje: [0x2509]."
"Application","05/11/2025 09:16:59 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 20948. Id. de mensaje: [0x2509]."
"Application","05/11/2025 09:01:22 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 23964. Id. de mensaje: [0x2509]."
"Application","05/11/2025 08:51:28 p. m.","10006","Error","Application or service 'HP One Agent Service' could not be shut down."
"Application","05/11/2025 08:51:22 p. m.","1000","Error","Nombre de aplicación con errores: hp-one-agent-service.exe, versión: 1.1.973.9172, marca de tiempo: 0x689d21ae Nombre del módulo con errores: MSVCP140.dll, versión: 14.42.34438.0, marca de tiempo: 0x2b69c728 Código de excepción: 0xc0000005 Desplazamiento con errores: 0x000000000001281f Id. de proceso con errores: 0x11B4 Tiempo de inicio de aplicación con errores: 0x1DC4C59B09672A6 Ruta de aplicación con errores: C:\Program Files\HP\HP One Agent\hp-one-agent-service.exe Ruta de módulo con errores: C:\WINDOWS\SYSTEM32\MSVCP140.dll Id. de informe: 5af67080-f5af-4e18-9783-113ef9d4c627 Nombre completo del paquete con errores:  Id. de aplicación relacionado con el paquete con errores: "
"Application","05/11/2025 02:56:17 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 7472. Id. de mensaje: [0x2509]."
"Application","05/11/2025 01:10:23 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 20372. Id. de mensaje: [0x2509]."
"Application","05/11/2025 01:05:27 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 18308. Id. de mensaje: [0x2509]."
